_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
1622541,22477,BP-28037,442,Parliament St,Parliament St,West,Spruce St,North,,13,Cabbagetown,Ring,Existing,0,315469.182,4835946.812,-79.3677104,43.66338969,"{u'type': u'Point', u'coordinates': (-79.3677103994, 43.6633896981)}"
1622542,22478,BP-28040,421,Parliament St,Parliament St,East,Woodward Evans Lane,South,,13,Cabbagetown,Ring,Existing,0,315513.091,4835853.76,-79.36716781,43.66255148,"{u'type': u'Point', u'coordinates': (-79.36716781, 43.6625514762)}"
1622543,22479,BP-28055,380,Sherbourne St,Sherbourne St,West,Carlton St,South,,13,,Ring,Existing,0,315048.74,4835866.816,-79.37292507,43.66267554,"{u'type': u'Point', u'coordinates': (-79.3729250608, 43.6626755427)}"
1622544,22480,BP-28057,166,Carlton St,Carlton St,North,Homewood Ave,East,,13,,Ring,Existing,0,314978.448,4835916.466,-79.37379568,43.66312342,"{u'type': u'Point', u'coordinates': (-79.3737956786, 43.6631234237)}"
1622545,22481,BP-28062,493,Parliament St,Parliament St,East,Carlton St,North,,13,Cabbagetown,Ring,Existing,0,315446.214,4836079.439,-79.36799257,43.66458384,"{u'type': u'Point', u'coordinates': (-79.3679925682, 43.6645838449)}"
1622546,22482,BP-28069,452,Parliament St,Parliament St,West,Doctor O Lane,South,,13,Cabbagetown,Ring,Existing,0,315466.739,4835954.848,-79.36774054,43.66346207,"{u'type': u'Point', u'coordinates': (-79.3677405318, 43.6634620678)}"
1622547,22483,BP-29734,1206,Yonge St,Yonge St,West,Birch Ave,North,,12,Rosedale Main Street,Ring,Existing,0,313544.025,4837974.959,-79.39154793,43.68167081,"{u'type': u'Point', u'coordinates': (-79.39154794, 43.6816708102)}"
1622548,22484,BP-29737,1510,Yonge St,Yonge St,West,Wally Crouter Walkway,North,,12,Yonge & St. Clair,Ring,Existing,0,313287.444,4838828.412,-79.39471688,43.68935596,"{u'type': u'Point', u'coordinates': (-79.3947168716, 43.6893559636)}"
1622549,22485,BP-22214,31,Granby St,Granby St,South,Sheard St,East,,13,,Ring,Existing,0,314375.301,4835650.158,-79.38127892,43.66073431,"{u'type': u'Point', u'coordinates': (-79.381278909, 43.6607343111)}"
1622550,22486,BP-22227,491,Bay St,Bay St,East,Hagerman St,South,,13,Downtown Yonge,Ring,Existing,0,314246.969,4834898.88,-79.38288319,43.65397345,"{u'type': u'Point', u'coordinates': (-79.3828831974, 43.6539734502)}"
1622551,22487,BP-22245,491,Bay St,Bay St,East,Hagerman St,South,,13,Downtown Yonge,Ring,Existing,0,314244.925,4834905.747,-79.38290842,43.65403529,"{u'type': u'Point', u'coordinates': (-79.3829084173, 43.6540352883)}"
1622552,22488,BP-22246,274,Dundas St E,Dundas St E,North,Pembroke St,East,,13,,Ring,Existing,0,315135.269,4835387.351,-79.37186136,43.65835852,"{u'type': u'Point', u'coordinates': (-79.3718613625, 43.6583585258)}"
1622553,22489,BP-22255,491,Bay St,Bay St,East,Hagerman St,South,,13,Downtown Yonge,Ring,Existing,0,314244.63,4834906.655,-79.38291206,43.65404346,"{u'type': u'Point', u'coordinates': (-79.3829120586, 43.6540434653)}"
1622554,22490,BP-22262,1070,Eglinton Ave W,Old Park Rd,East,Ln N Eglinton W Old Park Rd,South,,8,Upper Village,Ring,Existing,0,310361.257,4840006.732,-79.43100279,43.69999002,"{u'type': u'Point', u'coordinates': (-79.4310027829, 43.6999900264)}"
1622555,22491,BP-22264,155,Wellesley St E,Homewood Ave,East,Wellesley St E,North,,13,,Ring,Existing,0,314811.688,4836312.667,-79.37585602,43.66669202,"{u'type': u'Point', u'coordinates': (-79.3758560104, 43.6666920187)}"
1622556,22492,BP-22265,60,Carlton St,Church St,West,Carlton St,North,,13,Downtown Yonge,Ring,Existing,0,314514.296,4835802.947,-79.37955281,43.66210781,"{u'type': u'Point', u'coordinates': (-79.3795528088, 43.6621078115)}"
1622557,22493,BP-22270,28,Wood St,Church St,West,Wood St,South,,13,Downtown Yonge,Ring,Existing,0,314496.569,4835863.344,-79.37977152,43.66265169,"{u'type': u'Point', u'coordinates': (-79.3797715199, 43.6626516958)}"
1622558,22494,BP-22281,154,Wellesley St E,Wellesley St E,North,Homewood Ave,East,,13,,Ring,Existing,0,314812.351,4836310.511,-79.37584783,43.6666726,"{u'type': u'Point', u'coordinates': (-79.3758478293, 43.6666726029)}"
1622559,22495,BP-21503,2376,Dundas St W,Dundas St W,East,Edna Ave,North,,4,,Ring,Existing,0,308615.642,4835301.434,-79.4526935,43.65764718,"{u'type': u'Point', u'coordinates': (-79.4526934991, 43.6576471861)}"
1622560,22496,BP-21508,2733,Dundas St W,Dundas St W,South,Watkinson Ave,South,,4,,Ring,Existing,0,308009.83,4836100.944,-79.46019963,43.66484671,"{u'type': u'Point', u'coordinates': (-79.4601996278, 43.6648467105)}"
